"";"Jahr";"Land";"Bezirksart";"Geschlecht";"Geburtsjahresgruppe";"Summe";"Ungültig";"CDU";"SPD";"DIE LINKE";"GRÜNE";"CSU";"FDP";"AfD";"Sonstige";"dar. NPD";"dar. FREIE WÄHLER";"dar. dieBasis";"dar. BSW"
"161";2025;"Bund";"Urne";"m";"<=1955";"2975381";"34412";"964572";"677931";"144578";"173112";"175123";"146183";"500740";"158728";"0";"18421";"0";"119550"
"162";2025;"Bund";"Urne";"w";"Summe";"15517381";"124127";"3306284";"2660236";"1695538";"1722313";"607021";"599655";"3202557";"1599651";"0";"194585";"0";"917811"
"163";2025;"Bund";"Urne";"w";"2001-2007";"1049830";"4225";"75950";"111286";"422094";"96977";"14389";"36295";"161709";"126905";"0";"8316";"0";"69774"
"164";2025;"Bund";"Urne";"w";"1991-2000";"1740378";"6122";"188973";"200112";"390185";"239612";"38552";"66691";"356676";"253455";"0";"25746";"0";"126574"
"165";2025;"Bund";"Urne";"w";"1981-1990";"2389741";"11883";"397541";"294429";"242781";"328583";"76634";"87430";"635658";"314801";"0";"36821";"0";"169530"
"166";2025;"Bund";"Urne";"w";"1966-1980";"3881334";"23716";"813339";"573204";"294953";"489990";"152393";"155175";"958686";"419880";"0";"55505";"0";"239799"
"167";2025;"Bund";"Urne";"w";"1956-1965";"3047817";"23835";"709038";"614458";"177145";"329648";"137465";"110361";"667416";"278452";"0";"38909";"0";"176564"
"168";2025;"Bund";"Urne";"w";"<=1955";"3408282";"54347";"1121443";"866747";"168380";"237501";"187589";"143704";"422413";"206159";"0";"29288";"0";"135571"
"169";2025;"Bund";"Brief";"Summe";"Summe";"18497796";"61056";"4443043";"3212770";"1425682";"2551646";"1700070";"798019";"2425383";"1880127";"0";"408386";"0";"839552"
"170";2025;"Bund";"Brief";"Summe";"2001-2007";"1129284";"2890";"126359";"137431";"270057";"187377";"60460";"66001";"141675";"137035";"0";"23230";"0";"50139"
"171";2025;"Bund";"Brief";"Summe";"1991-2000";"2480776";"4690";"325437";"289089";"400846";"507863";"154194";"134114";"330618";"333926";"0";"61414";"0";"114045"
"172";2025;"Bund";"Brief";"Summe";"1981-1990";"2568580";"6608";"490202";"302008";"213459";"470686";"215510";"106309";"438042";"325755";"0";"65301";"0";"125863"
"173";2025;"Bund";"Brief";"Summe";"1966-1980";"4049176";"11398";"994338";"578757";"198795";"569126";"399274";"159063";"697386";"441039";"0";"105940";"0";"195365"
"174";2025;"Bund";"Brief";"Summe";"1956-1965";"3601078";"12735";"946190";"724856";"157351";"463650";"364671";"131341";"466671";"333612";"0";"79693";"0";"174313"
"175";2025;"Bund";"Brief";"Summe";"<=1955";"4668903";"22735";"1560517";"1180629";"185173";"352944";"505960";"201192";"350992";"308760";"0";"72808";"0";"179827"
"176";2025;"Bund";"Brief";"m";"Summe";"8425277";"26128";"2076620";"1330879";"530781";"1097103";"802583";"418483";"1390961";"751739";"0";"173219";"0";"327238"
"177";2025;"Bund";"Brief";"m";"2001-2007";"509944";"1590";"69430";"59900";"73556";"79137";"33745";"39565";"91401";"61621";"0";"11486";"0";"20028"
"178";2025;"Bund";"Brief";"m";"1991-2000";"1142317";"2542";"165172";"120165";"144555";"219278";"75268";"78711";"197490";"139136";"0";"27535";"0";"43589"
"179";2025;"Bund";"Brief";"m";"1981-1990";"1237676";"2886";"244299";"131036";"90358";"213174";"106285";"58890";"258899";"131849";"0";"28577";"0";"46277"
"180";2025;"Bund";"Brief";"m";"1966-1980";"1889711";"4406";"482265";"238091";"75793";"248260";"193833";"80319";"398041";"168704";"0";"43517";"0";"72904"
"181";2025;"Bund";"Brief";"m";"1956-1965";"1676417";"5525";"458552";"308016";"68505";"195370";"176347";"66025";"267356";"130719";"0";"34057";"0";"69228"
"182";2025;"Bund";"Brief";"m";"<=1955";"1969213";"9179";"656902";"473671";"78014";"141883";"217105";"94974";"177774";"119711";"0";"28048";"0";"75212"
"183";2025;"Bund";"Brief";"w";"Summe";"10072519";"34928";"2366423";"1881891";"894901";"1454543";"897487";"379536";"1034422";"1128388";"0";"235167";"0";"512314"
"184";2025;"Bund";"Brief";"w";"2001-2007";"619340";"1300";"56929";"77531";"196501";"108239";"26715";"26436";"50274";"75414";"0";"11745";"0";"30111"
"185";2025;"Bund";"Brief";"w";"1991-2000";"1338459";"2147";"160265";"168924";"256291";"288585";"78926";"55403";"133128";"194790";"0";"33879";"0";"70457"
"186";2025;"Bund";"Brief";"w";"1981-1990";"1330904";"3723";"245902";"170972";"123101";"257512";"109226";"47419";"179143";"193906";"0";"36725";"0";"79586"
"187";2025;"Bund";"Brief";"w";"1966-1980";"2159465";"6992";"512073";"340666";"123002";"320866";"205441";"78744";"299345";"272335";"0";"62423";"0";"122461"
"188";2025;"Bund";"Brief";"w";"1956-1965";"1924661";"7210";"487638";"416840";"88846";"268280";"188324";"65316";"199314";"202893";"0";"45636";"0";"105085"
"189";2025;"Bund";"Brief";"w";"<=1955";"2699690";"13556";"903615";"706958";"107159";"211060";"288855";"106218";"173218";"189049";"0";"44760";"0";"104615"
